feature,importance
TotalBsmtSF,0.2859838638943172
YearBuilt,0.2707584015160239
LotArea,0.15867293970227248
MSSubClass,0.056399410677855345
YearRemodAdd,0.0405173045575447
TotalLivingArea,0.036069663036411695
OverallCond,0.03479527687158495
HouseAge,0.03016032112577023
YearsSinceRemod,0.021997905779186436
Exterior1st_HdBoard,0.015418419966361476
IsRemodeled,0.008468186555832135
Exterior1st_BrkFace,0.00659878051108808
Exterior1st_VinylSd,0.0053722269907159345
Exterior1st_CemntBd,0.00519156624223155
Exterior1st_Wd Sdng,0.002797924634244377
MSZoning_RM,0.0023990703740430414
LotConfig_Corner,0.0021938151637146738
LotConfig_Inside,0.0021557231381463737
Exterior1st_MetalSd,0.0013903991162253794
BsmtFinSF2,0.0013769963385583852
